Description,Valence Mean,Arousal Mean,Dominance Mean,People Counter
pardon,4.5,4.5,4.5,1
knelt,4.5,4.5,4.5,1
sleek,4.5,4.5,4.5,1
hath,4.5,4.5,4.5,1
captain,4.5,4.5,4.5,1
lace,4.5,4.5,4.5,1
scold,4.5,4.5,4.5,1
bludgeon,4.5,4.5,4.5,1
lord,4.5,4.5,4.5,1
hedg,4.5,4.5,4.5,1
merchant,4.5,4.5,4.5,1
everi,4.5,4.5,4.5,1
risk,4.5,4.5,4.5,1
rise,4.5,4.5,4.5,1
voic,4.5,4.5,4.5,1
jack,4.5,4.5,4.5,1
govern,4.5,4.5,4.5,1
appar,4.5,4.5,4.5,1
vast,4.5,4.5,4.5,1
chapel,4.5,4.5,4.5,1
knowest,4.5,4.5,4.5,1
prize,4.5,4.5,4.5,1
parrot,4.5,4.5,4.5,1
solid,4.5,4.5,4.5,1
whirlwind,4.5,4.5,4.5,1
enjoy,4.5,4.5,4.5,1
nigh,4.5,4.5,4.5,1
direct,4.5,4.5,4.5,1
sabbath,4.5,4.5,4.5,1
horn,4.5,4.5,4.5,1
nail,4.5,4.5,4.5,1
hors,4.5,4.5,4.5,1
valiant,4.5,4.5,4.5,1
illumin,4.5,4.5,4.5,1
even,4.5,4.5,4.5,1
amus,4.5,4.5,4.5,1
decre,4.5,4.5,4.5,1
spokesman,4.5,4.5,4.5,1
conduct,4.5,4.5,4.5,1
new,4.5,4.5,4.5,1
told,4.5,4.5,4.5,1
crouch,4.5,4.5,4.5,1
herb,4.5,4.5,4.5,1
never,4.5,4.5,4.5,1
lodg,4.5,4.5,4.5,1
drew,4.5,4.5,4.5,1
met,4.5,4.5,4.5,1
china,4.5,4.5,4.5,1
path,4.5,4.5,4.5,1
chink,4.5,4.5,4.5,1
strewn,4.5,4.5,4.5,1
daughter,4.5,4.5,4.5,1
smoke,4.5,4.5,4.5,1
studi,4.5,4.5,4.5,1
cormoran,4.5,4.5,4.5,1
plashfrom,4.5,4.5,4.5,1
legitim,4.5,4.5,4.5,1
golden,4.5,4.5,4.5,1
envious,4.5,4.5,4.5,1
straw,4.5,4.5,4.5,1
brought,4.5,4.5,4.5,1
sneer,4.5,4.5,4.5,1
daughterinlaw,4.5,4.5,4.5,1
spoke,4.5,4.5,4.5,1
princess,4.5,4.5,4.5,1
call,4.5,4.5,4.5,1
armi,4.5,4.5,4.5,1
strike,4.5,4.5,4.5,1
extravag,4.5,4.5,4.5,1
tell,4.5,4.5,4.5,1
griev,4.5,4.5,4.5,1
notic,4.5,4.5,4.5,1
warn,4.5,4.5,4.5,1
warm,4.5,4.5,4.5,1
grandfath,4.5,4.5,4.5,1
holi,4.5,4.5,4.5,1
mainland,4.5,4.5,4.5,1
hole,4.5,4.5,4.5,1
hold,4.5,4.5,4.5,1
goodfornoth,4.5,4.5,4.5,1
join,4.5,4.5,4.5,1
room,4.5,4.5,4.5,1
restor,4.5,4.5,4.5,1
work,4.5,4.5,4.5,1
candlestick,4.5,4.5,4.5,1
boldest,4.5,4.5,4.5,1
workribbon,4.5,4.5,4.5,1
wors,4.5,4.5,4.5,1
mr,4.5,4.5,4.5,1
hansel,4.5,4.5,4.5,1
root,4.5,4.5,4.5,1
shook,4.5,4.5,4.5,1
wand,4.5,4.5,4.5,1
give,4.5,4.5,4.5,1
unjust,4.5,4.5,4.5,1
household,4.5,4.5,4.5,1
flung,4.5,4.5,4.5,1
exquisit,4.5,4.5,4.5,1
frighten,4.5,4.5,4.5,1
fishinglin,4.5,4.5,4.5,1
overheard,4.5,4.5,4.5,1
want,4.5,4.5,4.5,1
enchantress,4.5,4.5,4.5,1
hog,4.5,4.5,4.5,1
end,4.5,4.5,4.5,1
solitud,4.5,4.5,4.5,1
keen,4.5,4.5,4.5,1
ceremoni,4.5,4.5,4.5,1
how,4.5,4.5,4.5,1
hop,4.5,4.5,4.5,1
gate,4.5,4.5,4.5,1
sleepth,4.5,4.5,4.5,1
polit,4.5,4.5,4.5,1
recogn,4.5,4.5,4.5,1
lad,4.5,4.5,4.5,1
ladder,4.5,4.5,4.5,1
after,4.5,4.5,4.5,1
pimpl,4.5,4.5,4.5,1
befor,4.5,4.5,4.5,1
lay,4.5,4.5,4.5,1
beauti,4.5,4.5,4.5,1
headdress,4.5,4.5,4.5,1
nightcloth,4.5,4.5,4.5,1
attempt,4.5,4.5,4.5,1
splendid,4.5,4.5,4.5,1
credenti,4.5,4.5,4.5,1
childhood,4.5,4.5,4.5,1
perform,4.5,4.5,4.5,1
enter,4.5,4.5,4.5,1
hasti,4.5,4.5,4.5,1
order,4.5,4.5,4.5,1
wind,4.5,4.5,4.5,1
carnat,4.5,4.5,4.5,1
deck,4.5,4.5,4.5,1
crumbl,4.5,4.5,4.5,1
orang,4.5,4.5,4.5,1
hersomeon,4.5,4.5,4.5,1
oven,4.5,4.5,4.5,1
gentl,4.5,4.5,4.5,1
fit,4.5,4.5,4.5,1
spoken,4.5,4.5,4.5,1
offic,4.5,4.5,4.5,1
persist,4.5,4.5,4.5,1
hidden,4.5,4.5,4.5,1
easier,4.5,4.5,4.5,1
split,4.5,4.5,4.5,1
then,4.5,4.5,4.5,1
anim,4.5,4.5,4.5,1
recours,4.5,4.5,4.5,1
thee,4.5,4.5,4.5,1
break,4.5,4.5,4.5,1
band,4.5,4.5,4.5,1
bang,4.5,4.5,4.5,1
promis,4.5,4.5,4.5,1
they,4.5,4.5,4.5,1
sixteen,4.5,4.5,4.5,1
silver,4.5,4.5,4.5,1
bank,4.5,4.5,4.5,1
bread,4.5,4.5,4.5,1
choic,4.5,4.5,4.5,1
meat,4.5,4.5,4.5,1
windowbar,4.5,4.5,4.5,1
roast,4.5,4.5,4.5,1
oblig,4.5,4.5,4.5,1
meal,4.5,4.5,4.5,1
bone,4.5,4.5,4.5,1
luck,4.5,4.5,4.5,1
enorm,4.5,4.5,4.5,1
forgot,4.5,4.5,4.5,1
commiss,4.5,4.5,4.5,1
ring,4.5,4.5,4.5,1
whip,4.5,4.5,4.5,1
velvet,4.5,4.5,4.5,1
newli,4.5,4.5,4.5,1
content,4.5,4.5,4.5,1
laid,4.5,4.5,4.5,1
lain,4.5,4.5,4.5,1
forti,4.5,4.5,4.5,1
situat,4.5,4.5,4.5,1
bestow,4.5,4.5,4.5,1
whereupon,4.5,4.5,4.5,1
mistress,4.5,4.5,4.5,1
ate,4.5,4.5,4.5,1
newmarri,4.5,4.5,4.5,1
puzzl,4.5,4.5,4.5,1
steward,4.5,4.5,4.5,1
flown,4.5,4.5,4.5,1
sprig,4.5,4.5,4.5,1
unabl,4.5,4.5,4.5,1
loud,4.5,4.5,4.5,1
caught,4.5,4.5,4.5,1
rang,4.5,4.5,4.5,1
noisetap,4.5,4.5,4.5,1
rank,4.5,4.5,4.5,1
necess,4.5,4.5,4.5,1
hook,4.5,4.5,4.5,1
naughti,4.5,4.5,4.5,1
thick,4.5,4.5,4.5,1
agre,4.5,4.5,4.5,1
dwelt,4.5,4.5,4.5,1
acquaint,4.5,4.5,4.5,1
top,4.5,4.5,4.5,1
tangl,4.5,4.5,4.5,1
shiver,4.5,4.5,4.5,1
master,4.5,4.5,4.5,1
tom,4.5,4.5,4.5,1
bethought,4.5,4.5,4.5,1
bitter,4.5,4.5,4.5,1
listen,4.5,4.5,4.5,1
murder,4.5,4.5,4.5,1
trueheart,4.5,4.5,4.5,1
happili,4.5,4.5,4.5,1
crawl,4.5,4.5,4.5,1
soonest,4.5,4.5,4.5,1
matter,4.5,4.5,4.5,1
anxieti,4.5,4.5,4.5,1
flame,4.5,4.5,4.5,1
minut,4.5,4.5,4.5,1
ran,4.5,4.5,4.5,1
pass,4.5,4.5,4.5,1
reassur,4.5,4.5,4.5,1
seek,4.5,4.5,4.5,1
unfasten,4.5,4.5,4.5,1
dozen,4.5,4.5,4.5,1
strength,4.5,4.5,4.5,1
luxuri,4.5,4.5,4.5,1
laden,4.5,4.5,4.5,1
uncouth,4.5,4.5,4.5,1
chest,4.5,4.5,4.5,1
overtook,4.5,4.5,4.5,1
whenc,4.5,4.5,4.5,1
thoma,4.5,4.5,4.5,1
maiden,4.5,4.5,4.5,1
though,4.5,4.5,4.5,1
mouth,4.5,4.5,4.5,1
snatch,4.5,4.5,4.5,1
the,4.5,4.5,4.5,1
grave,4.5,4.5,4.5,1
sorcer,4.5,4.5,4.5,1
excus,4.5,4.5,4.5,1
alarm,4.5,4.5,4.5,1
flow,4.5,4.5,4.5,1
hospit,4.5,4.5,4.5,1
slipknot,4.5,4.5,4.5,1
declar,4.5,4.5,4.5,1
marvel,4.5,4.5,4.5,1
chariot,4.5,4.5,4.5,1
hunger,4.5,4.5,4.5,1
alight,4.5,4.5,4.5,1
travelingtrunk,4.5,4.5,4.5,1
queer,4.5,4.5,4.5,1
spite,4.5,4.5,4.5,1
forestth,4.5,4.5,4.5,1
hoars,4.5,4.5,4.5,1
proclam,4.5,4.5,4.5,1
bush,4.5,4.5,4.5,1
busi,4.5,4.5,4.5,1
deepest,4.5,4.5,4.5,1
rich,4.5,4.5,4.5,1
mend,4.5,4.5,4.5,1
plate,4.5,4.5,4.5,1
stop,4.5,4.5,4.5,1
weari,4.5,4.5,4.5,1
foremost,4.5,4.5,4.5,1
pocket,4.5,4.5,4.5,1
headlong,4.5,4.5,4.5,1
earn,4.5,4.5,4.5,1
sauc,4.5,4.5,4.5,1
bag,4.5,4.5,4.5,1
bad,4.5,4.5,4.5,1
stead,4.5,4.5,4.5,1
lookingglass,4.5,4.5,4.5,1
hasten,4.5,4.5,4.5,1
steal,4.5,4.5,4.5,1
blew,4.5,4.5,4.5,1
fair,4.5,4.5,4.5,1
nut,4.5,4.5,4.5,1
richer,4.5,4.5,4.5,1
goodnight,4.5,4.5,4.5,1
mopsey,4.5,4.5,4.5,1
result,4.5,4.5,4.5,1
fail,4.5,4.5,4.5,1
fain,4.5,4.5,4.5,1
awar,4.5,4.5,4.5,1
grumbl,4.5,4.5,4.5,1
discoveri,4.5,4.5,4.5,1
figur,4.5,4.5,4.5,1
simplest,4.5,4.5,4.5,1
awak,4.5,4.5,4.5,1
drawn,4.5,4.5,4.5,1
approach,4.5,4.5,4.5,1
attribut,4.5,4.5,4.5,1
accord,4.5,4.5,4.5,1
men,4.5,4.5,4.5,1
newlycoin,4.5,4.5,4.5,1
welldeserv,4.5,4.5,4.5,1
weav,4.5,4.5,4.5,1
devour,4.5,4.5,4.5,1
here,4.5,4.5,4.5,1
unfold,4.5,4.5,4.5,1
natur,4.5,4.5,4.5,1
kitchen,4.5,4.5,4.5,1
howev,4.5,4.5,4.5,1
piti,4.5,4.5,4.5,1
countri,4.5,4.5,4.5,1
assur,4.5,4.5,4.5,1
tone,4.5,4.5,4.5,1
fifti,4.5,4.5,4.5,1
vain,4.5,4.5,4.5,1
beefeat,4.5,4.5,4.5,1
guid,4.5,4.5,4.5,1
speak,4.5,4.5,4.5,1
wedg,4.5,4.5,4.5,1
accustom,4.5,4.5,4.5,1
reveng,4.5,4.5,4.5,1
beef,4.5,4.5,4.5,1
dreg,4.5,4.5,4.5,1
basin,4.5,4.5,4.5,1
chaffinch,4.5,4.5,4.5,1
hesit,4.5,4.5,4.5,1
threw,4.5,4.5,4.5,1
deeper,4.5,4.5,4.5,1
spit,4.5,4.5,4.5,1
unpunish,4.5,4.5,4.5,1
lift,4.5,4.5,4.5,1
dote,4.5,4.5,4.5,1
catch,4.5,4.5,4.5,1
spin,4.5,4.5,4.5,1
ugli,4.5,4.5,4.5,1
servic,4.5,4.5,4.5,1
lessen,4.5,4.5,4.5,1
aim,4.5,4.5,4.5,1
ail,4.5,4.5,4.5,1
neat,4.5,4.5,4.5,1
occas,4.5,4.5,4.5,1
is,4.5,4.5,4.5,1
tress,4.5,4.5,4.5,1
it,4.5,4.5,4.5,1
shame,4.5,4.5,4.5,1
eighteen,4.5,4.5,4.5,1
im,4.5,4.5,4.5,1
in,4.5,4.5,4.5,1
id,4.5,4.5,4.5,1
disappear,4.5,4.5,4.5,1
if,4.5,4.5,4.5,1
grown,4.5,4.5,4.5,1
growl,4.5,4.5,4.5,1
rosetre,4.5,4.5,4.5,1
belli,4.5,4.5,4.5,1
receiv,4.5,4.5,4.5,1
make,4.5,4.5,4.5,1
wound,4.5,4.5,4.5,1
myrtl,4.5,4.5,4.5,1
dazzl,4.5,4.5,4.5,1
pinafor,4.5,4.5,4.5,1
descend,4.5,4.5,4.5,1
complet,4.5,4.5,4.5,1
wheel,4.5,4.5,4.5,1
evid,4.5,4.5,4.5,1
welsh,4.5,4.5,4.5,1
hang,4.5,4.5,4.5,1
greedili,4.5,4.5,4.5,1
rais,4.5,4.5,4.5,1
supper,4.5,4.5,4.5,1
kid,4.5,4.5,4.5,1
nibbl,4.5,4.5,4.5,1
hearth,4.5,4.5,4.5,1
dismount,4.5,4.5,4.5,1
mamma,4.5,4.5,4.5,1
greatest,4.5,4.5,4.5,1
thi,4.5,4.5,4.5,1
everyth,4.5,4.5,4.5,1
chandeli,4.5,4.5,4.5,1
left,4.5,4.5,4.5,1
indign,4.5,4.5,4.5,1
just,4.5,4.5,4.5,1
aveng,4.5,4.5,4.5,1
thumbi,4.5,4.5,4.5,1
human,4.5,4.5,4.5,1
yes,4.5,4.5,4.5,1
sleepi,4.5,4.5,4.5,1
bit,4.5,4.5,4.5,1
ham,4.5,4.5,4.5,1
ell,4.5,4.5,4.5,1
dearer,4.5,4.5,4.5,1
royal,4.5,4.5,4.5,1
unawar,4.5,4.5,4.5,1
shout,4.5,4.5,4.5,1
spread,4.5,4.5,4.5,1
endur,4.5,4.5,4.5,1
conjur,4.5,4.5,4.5,1
har,4.5,4.5,4.5,1
gave,4.5,4.5,4.5,1
leagu,4.5,4.5,4.5,1
birth,4.5,4.5,4.5,1
burnt,4.5,4.5,4.5,1
retreat,4.5,4.5,4.5,1
apart,4.5,4.5,4.5,1
shoulder,4.5,4.5,4.5,1
avenu,4.5,4.5,4.5,1
hunt,4.5,4.5,4.5,1
remind,4.5,4.5,4.5,1
splendor,4.5,4.5,4.5,1
night,4.5,4.5,4.5,1
hung,4.5,4.5,4.5,1
amor,4.5,4.5,4.5,1
deal,4.5,4.5,4.5,1
born,4.5,4.5,4.5,1
stepmoth,4.5,4.5,4.5,1
dear,4.5,4.5,4.5,1
bore,4.5,4.5,4.5,1
creep,4.5,4.5,4.5,1
pail,4.5,4.5,4.5,1
for,4.5,4.5,4.5,1
bottom,4.5,4.5,4.5,1
distrust,4.5,4.5,4.5,1
eleph,4.5,4.5,4.5,1
condit,4.5,4.5,4.5,1
creatur,4.5,4.5,4.5,1
hazel,4.5,4.5,4.5,1
post,4.5,4.5,4.5,1
buri,4.5,4.5,4.5,1
galleri,4.5,4.5,4.5,1
bolt,4.5,4.5,4.5,1
heavenborn,4.5,4.5,4.5,1
describ,4.5,4.5,4.5,1
wept,4.5,4.5,4.5,1
foolish,4.5,4.5,4.5,1
conceal,4.5,4.5,4.5,1
gaze,4.5,4.5,4.5,1
coral,4.5,4.5,4.5,1
choke,4.5,4.5,4.5,1
surround,4.5,4.5,4.5,1
unfortun,4.5,4.5,4.5,1
despair,4.5,4.5,4.5,1
own,4.5,4.5,4.5,1
bandag,4.5,4.5,4.5,1
duke,4.5,4.5,4.5,1
faint,4.5,4.5,4.5,1
civil,4.5,4.5,4.5,1
contriv,4.5,4.5,4.5,1
bound,4.5,4.5,4.5,1
cauldron,4.5,4.5,4.5,1
curios,4.5,4.5,4.5,1
pair,4.5,4.5,4.5,1
wrap,4.5,4.5,4.5,1
opportun,4.5,4.5,4.5,1
crowd,4.5,4.5,4.5,1
mouseholeand,4.5,4.5,4.5,1
support,4.5,4.5,4.5,1
transform,4.5,4.5,4.5,1
happi,4.5,4.5,4.5,1
avail,4.5,4.5,4.5,1
way,4.5,4.5,4.5,1
wax,4.5,4.5,4.5,1
naught,4.5,4.5,4.5,1
was,4.5,4.5,4.5,1
head,4.5,4.5,4.5,1
form,4.5,4.5,4.5,1
offer,4.5,4.5,4.5,1
altogeth,4.5,4.5,4.5,1
recommend,4.5,4.5,4.5,1
back,4.5,4.5,4.5,1
heat,4.5,4.5,4.5,1
hear,4.5,4.5,4.5,1
outdon,4.5,4.5,4.5,1
heap,4.5,4.5,4.5,1
true,4.5,4.5,4.5,1
appledumpl,4.5,4.5,4.5,1
counsel,4.5,4.5,4.5,1
understood,4.5,4.5,4.5,1
spun,4.5,4.5,4.5,1
utmost,4.5,4.5,4.5,1
bargain,4.5,4.5,4.5,1
absenc,4.5,4.5,4.5,1
sampl,4.5,4.5,4.5,1
latch,4.5,4.5,4.5,1
temper,4.5,4.5,4.5,1
dunghil,4.5,4.5,4.5,1
toss,4.5,4.5,4.5,1
prayer,4.5,4.5,4.5,1
furi,4.5,4.5,4.5,1
quantiti,4.5,4.5,4.5,1
inde,4.5,4.5,4.5,1
smelt,4.5,4.5,4.5,1
no,4.5,4.5,4.5,1
excel,4.5,4.5,4.5,1
tis,4.5,4.5,4.5,1
talklittl,4.5,4.5,4.5,1
tie,4.5,4.5,4.5,1
appetit,4.5,4.5,4.5,1
frolic,4.5,4.5,4.5,1
smell,4.5,4.5,4.5,1
roll,4.5,4.5,4.5,1
realiti,4.5,4.5,4.5,1
tame,4.5,4.5,4.5,1
woodman,4.5,4.5,4.5,1
intend,4.5,4.5,4.5,1
toad,4.5,4.5,4.5,1
felt,4.5,4.5,4.5,1
lackaday,4.5,4.5,4.5,1
journey,4.5,4.5,4.5,1
intent,4.5,4.5,4.5,1
reign,4.5,4.5,4.5,1
consid,4.5,4.5,4.5,1
younger,4.5,4.5,4.5,1
longer,4.5,4.5,4.5,1
withhold,4.5,4.5,4.5,1
teeth,4.5,4.5,4.5,1
push,4.5,4.5,4.5,1
fasten,4.5,4.5,4.5,1
daili,4.5,4.5,4.5,1
gown,4.5,4.5,4.5,1
coach,4.5,4.5,4.5,1
expedit,4.5,4.5,4.5,1
chain,4.5,4.5,4.5,1
whoever,4.5,4.5,4.5,1
rob,4.5,4.5,4.5,1
roc,4.5,4.5,4.5,1
eldest,4.5,4.5,4.5,1
invent,4.5,4.5,4.5,1
horseback,4.5,4.5,4.5,1
snip,4.5,4.5,4.5,1
skin,4.5,4.5,4.5,1
mill,4.5,4.5,4.5,1
midst,4.5,4.5,4.5,1
decid,4.5,4.5,4.5,1
middl,4.5,4.5,4.5,1
godless,4.5,4.5,4.5,1
swoon,4.5,4.5,4.5,1
daintili,4.5,4.5,4.5,1
vex,4.5,4.5,4.5,1
ogreish,4.5,4.5,4.5,1
terror,4.5,4.5,4.5,1
splutter,4.5,4.5,4.5,1
brown,4.5,4.5,4.5,1
gloomi,4.5,4.5,4.5,1
mourn,4.5,4.5,4.5,1
word,4.5,4.5,4.5,1
blast,4.5,4.5,4.5,1
pious,4.5,4.5,4.5,1
cool,4.5,4.5,4.5,1
dim,4.5,4.5,4.5,1
tear,4.5,4.5,4.5,1
die,4.5,4.5,4.5,1
reconcil,4.5,4.5,4.5,1
audiencechamb,4.5,4.5,4.5,1
round,4.5,4.5,4.5,1
prevent,4.5,4.5,4.5,1
regret,4.5,4.5,4.5,1
sigh,4.5,4.5,4.5,1
bedcloth,4.5,4.5,4.5,1
sign,4.5,4.5,4.5,1
cost,4.5,4.5,4.5,1
pierc,4.5,4.5,4.5,1
port,4.5,4.5,4.5,1
cargo,4.5,4.5,4.5,1
appear,4.5,4.5,4.5,1
repli,4.5,4.5,4.5,1
melt,4.5,4.5,4.5,1
suspect,4.5,4.5,4.5,1
trot,4.5,4.5,4.5,1
tapplash,4.5,4.5,4.5,1
dwarf,4.5,4.5,4.5,1
nearer,4.5,4.5,4.5,1
clerk,4.5,4.5,4.5,1
satisfi,4.5,4.5,4.5,1
entertain,4.5,4.5,4.5,1
witch,4.5,4.5,4.5,1
address,4.5,4.5,4.5,1
deceiv,4.5,4.5,4.5,1
wait,4.5,4.5,4.5,1
box,4.5,4.5,4.5,1
merriment,4.5,4.5,4.5,1
stair,4.5,4.5,4.5,1
boast,4.5,4.5,4.5,1
invit,4.5,4.5,4.5,1
brilliant,4.5,4.5,4.5,1
my,4.5,4.5,4.5,1
bow,4.5,4.5,4.5,1
healthi,4.5,4.5,4.5,1
extrem,4.5,4.5,4.5,1
homeward,4.5,4.5,4.5,1
hither,4.5,4.5,4.5,1
rambl,4.5,4.5,4.5,1
prefer,4.5,4.5,4.5,1
peep,4.5,4.5,4.5,1
wealth,4.5,4.5,4.5,1
prove,4.5,4.5,4.5,1
sake,4.5,4.5,4.5,1
saddl,4.5,4.5,4.5,1
visit,4.5,4.5,4.5,1
live,4.5,4.5,4.5,1
prey,4.5,4.5,4.5,1
dismay,4.5,4.5,4.5,1
capit,4.5,4.5,4.5,1
club,4.5,4.5,4.5,1
share,4.5,4.5,4.5,1
odious,4.5,4.5,4.5,1
dismal,4.5,4.5,4.5,1
ventur,4.5,4.5,4.5,1
effort,4.5,4.5,4.5,1
ferri,4.5,4.5,4.5,1
prepar,4.5,4.5,4.5,1
pretend,4.5,4.5,4.5,1
judg,4.5,4.5,4.5,1
fli,4.5,4.5,4.5,1
woodax,4.5,4.5,4.5,1
can,4.5,4.5,4.5,1
purpos,4.5,4.5,4.5,1
nearest,4.5,4.5,4.5,1
favourit,4.5,4.5,4.5,1
stream,4.5,4.5,4.5,1
predict,4.5,4.5,4.5,1
heard,4.5,4.5,4.5,1
stroke,4.5,4.5,4.5,1
grassi,4.5,4.5,4.5,1
council,4.5,4.5,4.5,1
purs,4.5,4.5,4.5,1
winter,4.5,4.5,4.5,1
pine,4.5,4.5,4.5,1
alway,4.5,4.5,4.5,1
illluck,4.5,4.5,4.5,1
fourth,4.5,4.5,4.5,1
may,4.5,4.5,4.5,1
dive,4.5,4.5,4.5,1
spot,4.5,4.5,4.5,1
bawl,4.5,4.5,4.5,1
bear,4.5,4.5,4.5,1
hob,4.5,4.5,4.5,1
grow,4.5,4.5,4.5,1
sluggard,4.5,4.5,4.5,1
neck,4.5,4.5,4.5,1
st,4.5,4.5,4.5,1
tale,4.5,4.5,4.5,1
inform,4.5,4.5,4.5,1
so,4.5,4.5,4.5,1
crept,4.5,4.5,4.5,1
african,4.5,4.5,4.5,1
talk,4.5,4.5,4.5,1
footstep,4.5,4.5,4.5,1
midnight,4.5,4.5,4.5,1
brain,4.5,4.5,4.5,1
aha,4.5,4.5,4.5,1
bedchamb,4.5,4.5,4.5,1
shake,4.5,4.5,4.5,1
braid,4.5,4.5,4.5,1
tore,4.5,4.5,4.5,1
sprinkl,4.5,4.5,4.5,1
thank,4.5,4.5,4.5,1
torn,4.5,4.5,4.5,1
maid,4.5,4.5,4.5,1
spacious,4.5,4.5,4.5,1
